シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価
TRAK,"ReposiTrak, Inc.",10.63,USD,1.8199233716475218,80779,1.1051325409333685,194406279.50095788,USD,29.47864669994454,0.3606,USD,19.443524345809863,0.730842911877395,テクノロジーサービス,強い買い
VTVT,"vTv Therapeutics, Inc. Class A",35.14,USD,10.991787744788379,56858,2.47202246897907,146850694.87302592,USD,,-3.3231,USD,26.616464976592173,0,ヘルスケアテクノロジー,強い買い
IMTX,Immatics N.V.,9.93,USD,-3.5922330097087474,904022,2.3267597107681572,1331253831.8999999,USD,,-1.0937,USD,-69.48706028203935,0,ヘルスケアテクノロジー,強い買い
GHRS,GH Research Plc,15.33,USD,-0.26024723487312396,88272,0.38346602512390576,950910634.1769682,USD,,-0.7313,USD,8.162752731382653,0,ヘルスケアテクノロジー,強い買い
VTOL,Bristow Group Inc,44.76,USD,-0.5333333333333378,108399,0.47622666841226147,1294459202.984,USD,9.381877633150976,4.7709,USD,157.70539620807,0,交通・輸送,強い買い
DFIN,"Donnelley Financial Solutions, Inc.",44.38,USD,-4.804804804804794,409155,2.184498286966369,1177715702.1681683,USD,42.306959008579604,1.049,USD,-67.21055263815954,0,テクノロジーサービス,強い買い
PPIH,Perma-Pipe International Holdings Inc,32.54,USD,0.8679479231246161,98701,1.2423127172766566,263380200.3942964,USD,19.067151060588305,1.7066,USD,-13.624860815872058,0,生産財製造,強い買い
ARAY,Accuray Incorporated,0.5549,USD,-3.9965397923875456,1039393,0.914363807347157,62892995.78269897,USD,,-0.2984,USD,-557.2687224669603,0,ヘルスケアテクノロジー,強い買い
CING,"Cingulate, Inc.",6.82,USD,-5.540166204986143,276101,0.6568414391460338,52778137.088642664,USD,,-5.2876,USD,93.83677166005965,0,ヘルスケアテクノロジー,強い買い
GNSS,"Genasys, Inc.",2.05,USD,0,232261,1.227443328890613,92646799,USD,,-0.4021,USD,43.817241861114994,0,電子テクノロジー,強い買い
ADGM,"Adagio Medical Holdings, Inc",1.01,USD,2.48604769152714,26834,0.3785397287559848,21391432.075088784,USD,,-5.2835,USD,69.49480369515013,0,ヘルスケアテクノロジー,強い買い
PLUS,ePlus inc.,86.35,USD,-1.156135531135537,192069,0.9461494467753067,2278997654.250801,USD,17.729913968338703,4.8703,USD,24.229670441791665,0.572344322344322,テクノロジーサービス,強い買い
UTI,"Universal Technical Institute, Inc.",27.08,USD,2.965779467680599,663587,0.9463585588371027,1489955307.8342206,USD,28.06799336650083,0.9648,USD,-0.8223684210526322,0,商業サービス,強い買い
AQMS,"Aqua Metals, Inc.",4.64,USD,-3.7344398340249088,36680,0.3440971577274578,13832874.854771784,USD,,-96.472,USD,-106.93264693264692,0,非エネルギー鉱物,強い買い
PDSB,PDS Biotechnology Corp.,0.7134,USD,2.103907256333197,443374,0.5225663117077511,39038183.271790475,USD,,-0.8176,USD,29.946020049695832,0,ヘルスケアテクノロジー,強い買い
NRXS,"NeurAxis, Inc.",4.62,USD,5.963302752293573,28196,0.5031513879669086,49215988.98165138,USD,,-1.0226,USD,43.58380227297805,0,ヘルスケアテクノロジー,強い買い
FSRL,"First Reliance Bancshares, Inc.",15.85,USD,-0.3144654088050359,1781,0.31129288798000454,128860499.00314464,USD,12.042242820240084,1.3162,USD,83.11074012242628,0,金融,強い買い
REKR,"Rekor Systems, Inc. Class B",0.9446,USD,1.3084513084513072,2262802,0.6594714166985721,128897829.46825397,USD,,-0.4303,USD,34.26520012221203,0,商業サービス,強い買い
GLUE,"Monte Rosa Therapeutics, Inc.",19.57,USD,-0.10209290454313207,801227,0.7172937344193957,1492070818.794283,USD,64.07989521938441,0.3054,USD,,0,ヘルスケアテクノロジー,強い買い
GMGI,"Golden Matrix Group, Inc.",0.6396,USD,0.32941176470588096,155497,0.5764331776871943,90335739.52000001,USD,,-0.0403,USD,-196.875,0,テクノロジーサービス,強い買い
NRIM,"Northrim BanCorp, Inc.",25.61,USD,-1.0432766615146816,203496,0.8112028720733836,565741981.9095826,USD,8.91899421884795,2.8714,USD,73.20545301001327,2.47295208655332,金融,強い買い
PSTV,"Plus Therapeutics, Inc.",0.2631,USD,3.5826771653543297,8119114,0.7210806875206656,46929472.2496063,USD,,-1.9042,USD,14.85803711155824,0,ヘルスケアテクノロジー,強い買い
REZI,"Resideo Technologies, Inc.",35.95,USD,0,1604969,0.9224004299790872,5382252038,USD,,-4.6802,USD,-495.3205507221894,0,流通サービス,強い買い
CMT,"Core Molding Technologies, Inc.",19.66,USD,-2.1890547263681652,19699,0.9596208087529654,168316197.73034823,USD,21.157985363753767,0.9292,USD,-47.18654086620439,0,生産財製造,強い買い
COYA,"Coya Therapeutics, Inc.",4.96,USD,1.2244897959183594,189018,1.0058386298908903,103785302.36734694,USD,,-1.1024,USD,-53.196220122290164,0,ヘルスケアテクノロジー,強い買い
CAPS,Capstone Holding Corp,0.5774,USD,6.531365313653134,104822,0.6390607291201164,4796002.649815498,USD,,-8.1529,USD,77.22475500877162,0,流通サービス,強い買い
BAER,"Bridger Aerospace Group Holdings, Inc.",2.86,USD,0.7042253521126767,1348576,1.165662763594786,158853278.08450702,USD,,-0.5167,USD,62.55525762736429,0,交通・輸送,強い買い
TILE,"Interface, Inc.",34.58,USD,-0.8316604531115549,390895,1.1053069266503963,2019147486.4840834,USD,18.03295786399666,1.9176,USD,33.53760445682452,0.172067679954115,生産財製造,強い買い
SSSS,SuRo Capital Corp.,9.69,USD,-0.8188331627430918,161747,0.7070703096653823,243404003.6223132,USD,3.987162078755709,2.4303,USD,,5.11770726714432,その他,強い買い
ZENA,"ZenaTech, Inc.",2.94,USD,-5.466237942122184,1353653,1.246751536273744,140181805.3504823,USD,,-0.5951,USD,-1655.457227138643,0,テクノロジーサービス,強い買い
DSS,"DSS, Inc.",0.92,USD,1.0989010989010999,83427,0.1578063019242166,8365116.175824175,USD,,-5.6844,USD,9.404733444896001,0,商業サービス,強い買い
IEP,Icahn Enterprises L.P.,8.17,USD,0.9888751545117438,798437,0.9499770547864119,4903703505.593325,USD,,-0.7902,USD,27.663859392164042,24.7218788627936,エネルギー鉱物,強い買い
PRLD,"Prelude Therapeutics, Inc.",2.1,USD,-2.5522041763340937,238409,0.7398218598555973,118892065.1972158,USD,,-1.6133,USD,15.147530636932627,0,ヘルスケアテクノロジー,強い買い
SIMO,Silicon Motion Technology Corporation Sponsored ADR,131.32,USD,-4.529262086514008,658846,0.7073922807932247,4674453912,USD,36.20223851794673,3.6274,USD,35.12889286246461,1.44674663758633,電子テクノロジー,強い買い
XFOR,"X4 Pharmaceuticals, Inc.",3.71,USD,4.507042253521131,603100,1.3779590076044794,324390120.4225353,USD,,-10.0072,USD,-290.50963864824786,0,ヘルスケアテクノロジー,強い買い
IPST,"Heritage Distilling Holding Company, Inc.",0.8522,USD,-10.209672321146359,60216,1.0254384202226756,8146453.356199999,USD,,-27.7122,USD,-112.6689555227415,0,非耐久消費財,強い買い
SLDB,Solid Biosciences Inc.,6.93,USD,1.0204081632652973,1845581,1.676923573166944,539917974.9183673,USD,,-2.4938,USD,17.875255219653567,0,ヘルスケアテクノロジー,強い買い
CODA,"Coda Octopus Group, Inc.",13.07,USD,4.811547714514833,419961,2.280319665348302,147306425.46912593,USD,35.749452954048145,0.3656,USD,13.188854489164079,0,電子テクノロジー,強い買い
MRP,Millrose Properties Inc Class A,31.5,USD,0.3824091778202709,1005771,0.8515484268844419,4838283915,USD,24.12129565816678,1.3059,USD,,8.12619502868069,金融,強い買い
TNC,Tennant Company,81.24,USD,-0.3190184049079817,50484,0.5322632680989965,1472553716.077546,USD,27.805729541020636,2.9217,USD,-48.47271701174562,1.46625766871166,生産財製造,強い買い
KAPA,"Kairos Pharma, Ltd.",0.641,USD,0.14858237416198372,121212,0.8695178097207058,13346487.106455913,USD,,-0.3026,USD,-41.79943767572632,0,ヘルスケアテクノロジー,強い買い
BLZE,"Backblaze, Inc. Class A",4.06,USD,-1.6949152542372952,576404,0.7689439513919804,234262009.83050844,USD,,-0.6646,USD,40.14230388183375,0,電子テクノロジー,強い買い
GRI,"GRI Bio, Inc.",2.39,USD,-2.4489795918367365,158457,0.08691867305815697,3453619.2612244897,USD,,-240.2565,USD,95.78061861640454,0,ヘルスケアテクノロジー,強い買い
NXTC,"NextCure, Inc.",12.25,USD,3.3755274261603407,13801,0.4704474722098185,42943860.50632912,USD,,-24.1859,USD,3.777540838816969,0,ヘルスケアテクノロジー,強い買い
IRD,"Opus Genetics, Inc.",3.49,USD,3.2544378698224947,1259235,0.8595591591598971,240685102.39940828,USD,,-1.7188,USD,-58.137823166804694,0,ヘルスケアテクノロジー,強い買い
CXW,"CoreCivic, Inc.",18.69,USD,-1.0587612493382703,507051,0.47894814297327176,1975604084,USD,18.6545563429484,1.0019,USD,47.8382765235355,0,商業サービス,強い買い
WGS,GeneDx Holdings Corp. Class A,94.78,USD,3.8798772468215765,950827,1.1715282847417943,2739577033.3439283,USD,1571.8076285240465,0.0603,USD,,0,ヘルスケアサービス,強い買い
KYTX,"Kyverna Therapeutics, Inc.",7.85,USD,-2.8465346534653517,439536,0.5045590262750982,448466610.94678223,USD,,-3.7211,USD,-21.22031468873179,0,ヘルスケアテクノロジー,強い買い
CRVO,CervoMed Inc.,5.1,USD,-7.27272727272728,29550,0.29759806636789365,47188866.43636363,USD,,-2.8954,USD,-76.95880699181028,0,商業サービス,強い買い
BKTI,BK Technologies Corp.,81.61,USD,3.1080227416298087,34474,1.1069831065785123,304588186.82425773,USD,24.68168758505973,3.3065,USD,141.40322698401113,0,電子テクノロジー,強い買い
FC,Franklin Covey Co.,19.43,USD,-0.9178990311065769,91392,0.7065295539197269,224466096.53646097,USD,,-0.1186,USD,-108.04285908042858,0,商業サービス,強い買い
ATRO,Astronics Corporation,74.62,USD,-3.988677303139468,538557,0.8901873063303718,2641321009.070767,USD,,-0.1357,USD,25.110375275938196,0,電子テクノロジー,強い買い
SVRA,"Savara, Inc.",5.27,USD,0.764818355640519,2002912,1.4651677456690615,1072275572.0191203,USD,,-0.5351,USD,-22.3924977127173,0,ヘルスケアテクノロジー,強い買い
TTGT,"TechTarget, Inc.",5.23,USD,1.1605415860735107,445679,1.017416981414201,377385851.3945842,USD,,,,,0,テクノロジーサービス,強い買い
TLOFD,Talon Metals Corp.,4.7632,USD,-2.393442622950811,95717,0.45644382303234693,712042423.7658006,USD,,-0.0209656,USD,-17.224424252488543,0,非エネルギー鉱物,強い買い
GLOO,"Gloo Holdings, Inc. Class A",5.6,USD,1.6333938294010864,36760,0.6609418601306062,446313207.8402903,USD,,-2.0861,USD,,0,テクノロジーサービス,強い買い
DTIL,"Precision BioSciences, Inc.",3.76,USD,-1.3123359580052563,84628,0.5678755864764174,90509788.38845144,USD,,-8.403,USD,-16544.227005870842,0,ヘルスケアテクノロジー,強い買い
RAIL,"FreightCar America, Inc.",13.47,USD,3.6951501154734445,291412,2.0384077850820437,256995544.4018476,USD,5.441544800840268,2.4754,USD,,0,生産財製造,強い買い
MVST,"Microvast Holdings, Inc.",2.49,USD,-3.48837209302325,1305212,0.40878564094443526,817175224.116279,USD,,-0.4944,USD,-11.754068716094029,0,生産財製造,強い買い
BCDA,"BioCardia, Inc.",1.25,USD,-0.7936507936507943,109965,1.5105580403749572,13265918.65079365,USD,,-1.7252,USD,58.50390859891762,0,ヘルスケアテクノロジー,強い買い
CON,"Concentra Group Holdings Parent, Inc.",23.86,USD,3.111495246326702,924286,0.6209135003270879,3058140809.0838375,USD,,,,,1.08038029386344,ヘルスケアサービス,強い買い
AUDC,AudioCodes Ltd.,7.73,USD,-0.8974358974358897,194532,0.9769095565710842,207218049.5474359,USD,25.130039011703513,0.3076,USD,-38.77388535031847,4.87179487179487,電子テクノロジー,強い買い
MATW,Matthews International Corporation Class A,26.43,USD,-0.6390977443609086,184597,0.7327534193068977,822662294.4,USD,37.84364261168385,0.6984,USD,,3.7781954887218,生産財製造,強い買い
PARK,"Park Dental Partners, Inc.",18.98,USD,7.596371882086167,44281,0.6440675993896913,77659252.31292517,USD,,,,,0,ヘルスケアサービス,強い買い
MSLE,Satellos Bioscience Inc,10.87,USD,-0.18365472910928693,75163,3.0831749226519047,168038558.95466664,USD,,-1.5785947999999999,USD,29.575392331513,0,ヘルスケアテクノロジー,強い買い
GOLD,"Gold.com, Inc.",62.59,USD,-2.4165887121920755,1368879,1.0131856788755353,1583338673.774556,USD,131.71296296296296,0.4752,USD,-76.91747219118861,1.24727159338946,金融,強い買い
CMMB,Chemomab Therapeutics Ltd. Sponsored ADR,1.56,USD,-3.703703703703707,38691,0.6125482869989234,9971289,USD,,-1.8587,USD,53.19197159334155,0,ヘルスケアテクノロジー,強い買い
VMD,"Viemed Healthcare, Inc.",8.29,USD,-1.8934911242603567,193455,0.9146773912911914,315168435.14792895,USD,25.075620084694492,0.3306,USD,28.688205527442577,0,ヘルスケアサービス,強い買い
ATAI,AtaiBeckley Inc.,3.85,USD,-2.1601016518424387,4278533,1.2040376557374886,1398376188.4752226,USD,,,,,0,ヘルスケアテクノロジー,強い買い
CANG,Cango Inc. Class A,0.9284,USD,0.9130434782608655,704788,0.6096961329312454,330835691.1773913,USD,,-2.8768,USD,-1335.2082438814941,0,流通サービス,強い買い
RCT,RedCloud Holdings plc,1,USD,-0.990099009900991,35437,0.22172348290507377,44226634.653465346,USD,,,,,0,テクノロジーサービス,強い買い
FBRX,Forte Biosciences Inc.,29.48,USD,-1.1070110701106954,238854,0.872319857188091,369294025.65313655,USD,,-4.4441,USD,77.07785308286655,0,ヘルスケアテクノロジー,強い買い
VNCE,Vince Holding Corp.,2.65,USD,1.1450381679389239,15500,0.2512774621949005,35349477.76717557,USD,,-1.4809,USD,-509.65421853388665,0,非耐久消費財,強い買い
MATX,"Matson, Inc.",160.66,USD,-0.7720338459638071,203793,0.7093801517109249,5009384477.824223,USD,12.231815205640064,13.1346,USD,9.258334997005402,0.864677907479464,交通・輸送,強い買い
NLST,"Netlist, Inc.",1.08,USD,-5.263157894736828,381264,0.44912948649156464,331829270.5263158,USD,,-0.1279,USD,39.896616541353374,0,電子テクノロジー,強い買い
JBIO,"Jade Biosciences, Inc.",14.51,USD,0.2764340013821641,240018,1.0143477176774878,667521009.1852107,USD,,-11.3636,USD,89.16061436793778,0,ヘルスケアテクノロジー,強い買い
UCTT,"Ultra Clean Holdings, Inc.",54.33,USD,6.990941315478529,2610508,2.465311506571279,2465880474.3066163,USD,,-3.576,USD,-4945.528455284552,0,生産財製造,強い買い
MRKR,"Marker Therapeutics, Inc.",1.55,USD,4.729729729729734,71265,0.24332798522789315,25843345.844594598,USD,,-1.229,USD,-13.66999630040697,0,ヘルスケアテクノロジー,強い買い
RDCM,RADCOM Ltd.,12.83,USD,2.312599681020741,88799,0.9301363377354696,205656122.60207337,USD,20.27496839443742,0.6328,USD,36.96969696969697,0,テクノロジーサービス,強い買い
MHD,BlackRock MuniHoldings Fund Inc,11.84,USD,-0.25273799494523475,382873,2.4335741230983383,618920792,USD,,-0.8074,USD,-256.4728682170542,5.72030328559394,その他,強い買い
UPB,"Upstream Bio, Inc.",27.81,USD,6.470137825421124,800171,1.2252555107105791,1502813222.1833842,USD,,-2.2839,USD,,0,ヘルスケアテクノロジー,強い買い
APLD,Applied Digital Corporation,37.47,USD,-2.064819654992157,24413521,0.7216078800724589,10476080044.50157,USD,,-0.5438,USD,68.57918761194894,0,テクノロジーサービス,強い買い
TLSA,Tiziana Life Sciences Ltd.,1.41,USD,-4.729729729729734,97830,0.46364423515762626,167581254.2635135,USD,,-0.1143,USD,14.382022471910119,0,ヘルスケアテクノロジー,強い買い
ICON,Icon Energy Corp.,1.66,USD,-1.7751479289940846,71008,0.3105478146019746,,,,,,,,交通・輸送,強い買い
WLDN,"Willdan Group, Inc.",114.55,USD,-2.5686824870290006,211473,0.6741228112119503,1689598949.25236,USD,41.114819999282155,2.7861,USD,70.46622613803228,0,商業サービス,強い買い
VUZI,Vuzix Corporation,2.65,USD,0.7604562737642593,810679,0.6793881275546331,212335201.82509506,USD,,-0.49,USD,59.684054632219855,0,電子テクノロジー,強い買い
WATT,Energous Corp.,10.05,USD,4.469854469854486,664286,2.291942254120787,21860126.912681915,USD,,-16.3335,USD,82.46955636981846,0,電子テクノロジー,強い買い
SLNG,"Stabilis Solutions, Inc.",5.45,USD,-2.3297491039426506,1019,0.08014471666207873,101349834.02329749,USD,99.81684981684981,0.0546,USD,-74.08637873754152,0,エネルギー鉱物,強い買い
ANDE,"Andersons, Inc.",67.53,USD,0.28215028215027876,355230,1.2116893589094624,2285155836.978319,USD,31.55460025232466,2.1401,USD,-38.80358010923337,1.16572616572617,商業サービス,強い買い
LPTH,"LightPath Technologies, Inc. Class A",11.01,USD,-2.8243601059135064,1865095,0.6453293698864794,586614714.3601059,USD,,-0.3838,USD,-77.93231339823828,0,電子テクノロジー,強い買い
HOTH,"Hoth Therapeutics, Inc.",0.95,USD,10.683910054759409,3991933,15.191853650368385,14738595.304672025,USD,,-1.0646,USD,24.043949771689498,0,ヘルスケアテクノロジー,強い買い
WULF,TeraWulf Inc.,16.63,USD,-0.12012012012011758,59260986,1.3885362582515255,6962679584.496097,USD,,-1.4167,USD,-752.4067388688329,0,テクノロジーサービス,強い買い
EVAX,Evaxion A/S Sponsored ADR,3.4,USD,-2.0172910662824286,27854,0.310199245160306,21918506,USD,,,,,0,ヘルスケアテクノロジー,強い買い
EVLV,"Evolv Technologies Holdings, Inc.",5.57,USD,2.389705882352939,2401975,0.9418486697719503,972620039.1672795,USD,,-0.3651,USD,-1.2198502911006264,0,電子テクノロジー,強い買い
CBK,"Commercial Bancgroup, Inc.",26.5,USD,0.26485054861899465,55419,0.7079685585770878,324350546.0272417,USD,9.576813270210689,2.7671,USD,,0,金融,強い買い
LOAR,Loar Holdings Inc.,65.35,USD,-0.030595074193070566,942725,1.2629131352611482,6118228478.580387,USD,98.85040084707305,0.6611,USD,230.21978021978023,0,電子テクノロジー,強い買い
PLSE,"Pulse Biosciences, Inc.",23.92,USD,-1.1978521272201534,827085,1.4640468291066497,1621000407.0912845,USD,,-1.1352,USD,-40.63429137760158,0,ヘルスケアテクノロジー,強い買い
KNSA,"Kiniksa Pharmaceuticals International, plc Class A",44.71,USD,0.81172491544532,386653,0.7856000117031449,3388828240.0739574,USD,99.71008028545941,0.4484,USD,,0,ヘルスケアテクノロジー,強い買い
OABI,"OmniAb, Inc.",1.73,USD,-3.3519553072625725,218315,0.4203250046159412,249042860.36312848,USD,,-0.5906,USD,5.1549702906696675,0,商業サービス,強い買い
FRMI,Fermi Inc.,9.4,USD,8.170310701956282,8865230,1.769975870653799,5771838393.302648,USD,,,,,0,金融,強い買い
CWCO,Consolidated Water Co. Ltd.,37.51,USD,2.7108433734939616,80201,0.9720614596981313,597584436.2439758,USD,35.6694560669456,1.0516,USD,-54.262352122477374,1.4512595837897,公益事業,強い買い
BNGO,"Bionano Genomics, Inc.",1.17,USD,1.7391304347826104,194126,0.5555208977801036,11905918.982608696,USD,,-15.5257,USD,88.80037799274312,0,ヘルスケアテクノロジー,強い買い
UTL,Unitil Corporation,51,USD,0.4332414336352872,124109,1.4110174164450624,913654421.3666799,USD,17.07856138235885,2.9862,USD,2.2706257063598074,3.54470263883419,公益事業,強い買い
UXIN,Uxin Ltd Sponsored ADR,3.7,USD,4.225352112676067,244977,0.7113667625795246,731900782,USD,,-0.1943,USD,99.27077703717049,0,テクノロジーサービス,強い買い
STXS,"Stereotaxis, Inc.",2.1,USD,-0.9433962264150951,311764,0.5105487657393029,195982002.73584905,USD,,-0.2811,USD,-3.4216335540838965,0,ヘルスケアテクノロジー,強い買い
SERA,"Sera Prognostics, Inc. Class A",2.65,USD,-1.119402985074636,17698,0.6139979600474601,102276212.08955222,USD,,-0.7696,USD,22.411533420707737,0,ヘルスケアサービス,強い買い
TMC,TMC the metals company Inc.,6.4,USD,-3.6144578313252915,4773029,0.47168362915547246,2646348970.60241,USD,,-0.7653,USD,-111.9357518692883,0,非エネルギー鉱物,強い買い
SQNS,Sequans Communications SA Sponsored ADR,3.5,USD,-1.12994350282486,124628,0.47475868363681006,56625475,USD,,-184.7882,USD,,0,電子テクノロジー,強い買い
REVB,"Revelation Biosciences, Inc.",1.54,USD,1.3157894736842117,295891,0.47072372115635785,2439284.013157895,USD,,-120.2146,USD,96.26307260602245,0,ヘルスケアテクノロジー,強い買い
XPL,Solitario Resources Corp.,0.7554,USD,0.7199999999999946,330496,0.5987178044888255,68666858.1352,USD,,-0.0578,USD,5.2459016393442655,0,非エネルギー鉱物,強い買い
FGNX,FG Nexus Inc.,1.77,USD,-7.812499999999996,375225,0.7796840993690216,70046602.265625,USD,,-10.6573,USD,-797.1023024594454,0,金融,強い買い
XGN,"Exagen, Inc.",3.5,USD,3.8575667655786314,404828,0.6541742251851939,79320844.80712166,USD,,-0.9257,USD,1.3428540978365187,0,ヘルスケアサービス,強い買い
HQI,"HireQuest, Inc.",10.73,USD,-1.1970534069981493,17812,0.5858747993579454,151292999.01197058,USD,21.593882068826726,0.4969,USD,372.7878211227403,2.20994475138122,商業サービス,強い買い
SOHU,Sohu.com Limited Sponsored ADR,16.71,USD,4.047322540473239,103301,2.27593895343073,482850308,USD,1.1842412989093074,14.1103,USD,,0,テクノロジーサービス,強い買い
ARAI,Arrive AI Inc.,1.27,USD,-14.765100671140937,832159,1.063938815773408,43451000.95302014,USD,,,,,0,テクノロジーサービス,強い買い
NXGL,"NexGel, Inc.",1.32,USD,2.325581395348839,111692,2.3704741287830555,14161134.976744184,USD,,-0.3783,USD,34.865702479338836,0,素材産業,強い買い
ADIL,"Adial Pharmaceuticals, Inc.",3.03,USD,-1.9417475728155358,57153,1.1025884756209359,3366844.805825243,USD,,-23.1478,USD,78.51861819362921,0,ヘルスケアテクノロジー,強い買い
RFIL,"RF Industries, Ltd.",11.64,USD,2.5550660792951625,106976,0.6216441120000744,124708641.22995597,USD,1940,0.006,USD,,0,電子テクノロジー,強い買い
LSAK,"Lesaka Technologies, Inc.",4.21,USD,-2.5462962962963034,69805,0.646561705170456,353306032.9791666,USD,,-0.6241,USD,-1.9937898349403478,0,テクノロジーサービス,強い買い
ANIK,"Anika Therapeutics, Inc.",10.33,USD,0.9775171065493612,133289,0.6871799683654594,148971183.8181818,USD,,-2.2788,USD,65.68123974036536,0,ヘルスケアテクノロジー,強い買い
CDZI,Cadiz Inc.,4.97,USD,3.1120331950207354,617237,0.5358494988649041,413057096.9813278,USD,,-0.4891,USD,4.11683983532641,0,金融,強い買い
CDNL,"Cardinal Infrastructure Group, Inc.",25.5,USD,-3.3724895793861327,174257,1.24165789049908,337078116.7866616,USD,,,,,,産業サービス,強い買い
EDSA,"Edesa Biotech, Inc.",1.05,USD,-6.250000000000005,66210,0.3854092812562212,8750514.375,USD,,-1.348,USD,30.285477865122047,0,ヘルスケアテクノロジー,強い買い
TOYO,"TOYO Co., Ltd",8.8,USD,-4.555314533622559,84417,0.3990313620867974,310710766.5075922,USD,12.074643249176729,0.7288,USD,300,0,電子テクノロジー,強い買い
BCAB,"BioAtla, Inc.",0.2007,USD,5.631578947368414,1495315,0.381829110346076,12852907.22368421,USD,,-1.1496,USD,32.368513942816804,0,ヘルスケアテクノロジー,強い買い
ORKT,Orangekloud Technology Inc. Class A,1.02,USD,-1.9230769230769247,290203,0.05696822668282883,17409350.192307692,USD,,-1.4041,USD,,0,テクノロジーサービス,強い買い
NAGE,"Niagen Bioscience, Inc.",5.12,USD,0.39215686274510714,796753,0.8504886595356472,408607414.7137255,USD,21.03533278553821,0.2434,USD,1187.8306878306878,0,ヘルスケアテクノロジー,強い買い
SPRY,"ARS Pharmaceuticals, Inc.",9.92,USD,1.327885597548527,742658,0.5570558902597091,980578206.2349337,USD,,-0.8103,USD,-59.69649191959008,0,ヘルスケアテクノロジー,強い買い
DCOY,Decoy Therapeutics Inc.,0.7481,USD,-2.844155844155848,451114,1.7194983383018472,4776002.531948052,USD,,-39.2297,USD,68.08029539174557,0,ヘルスケアテクノロジー,強い買い
GLTO,"Galecto, Inc.",21.52,USD,-10.333333333333334,57361,1.5945171360347032,34374348.81666666,USD,,-12.0999,USD,37.41517358381264,0,ヘルスケアテクノロジー,強い買い
FTK,"Flotek Industries, Inc.",17.49,USD,-1.6310461192351107,173371,0.5242685623324721,525711347.9375702,USD,19.587859782730426,0.8929,USD,234.67016491754129,0,産業サービス,強い買い
ELUT,Elutia Inc Class A,0.9501,USD,0.5290445455507241,134884,0.4573562217148926,40570394.920008466,USD,,-0.9196,USD,68.01947487393497,0,ヘルスケアテクノロジー,強い買い
GWRS,"Global Water Resources, Inc.",9.11,USD,1.7877094972067056,43841,0.7274027469446132,261914909.3150838,USD,55.71865443425076,0.1635,USD,-38.80988023952096,3.39620111731844,公益事業,強い買い
CVEO,Civeo Corp,28.07,USD,0.681492109038742,48169,0.9862289523684729,323232287.2184362,USD,,-2.1128,USD,-250.1634683724236,1.79340028694405,消費者サービス,強い買い
ALTO,"Alto Ingredients, Inc.",2.75,USD,-0.7220216606498201,722783,0.8151711566984612,212694578.33935016,USD,,-0.6975,USD,-35.858979353330746,0,素材産業,強い買い
FTLF,"FitLife Brands, Inc.",14.36,USD,-5.588428665351752,19167,1.8124137148476653,134855798.52728468,USD,20.64404830362277,0.6956,USD,-17.660984848484848,0,ヘルスケアテクノロジー,強い買い
ECOR,"electroCore, Inc.",5.36,USD,0.1869158878504799,43459,0.8535179456964688,42858039.02803739,USD,,-1.7951,USD,1.6167927216924303,0,ヘルスケアテクノロジー,強い買い
ARDX,"Ardelyx, Inc.",7.3,USD,-0.40927694406548765,2242211,0.7397219989115695,1773712513.4924965,USD,,-0.2369,USD,23.924213230571613,0,ヘルスケアテクノロジー,強い買い
ACHV,"Achieve Life Sciences, Inc.",4.36,USD,0.692840646651276,413060,0.48637230854698127,232100190.6605081,USD,,-1.3777,USD,-22.0607778860636,0,ヘルスケアテクノロジー,強い買い
ABTC,American Bitcoin Corp.,1.2,USD,-4.761904761904765,9732685,0.8182464282887665,1113125990.4761903,USD,,-0.7493,USD,99.89440232250064,0,テクノロジーサービス,強い買い
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",24.39,USD,-4.912280701754378,247092,1.002505330166001,561777164.4666667,USD,11.869768347284406,2.0548,USD,31.608275155319305,1.98830409356725,小売業,強い買い
BRC,Brady Corporation Class A,93.42,USD,0.6247307195174475,156053,0.6992950273707909,4407249368.757002,USD,22.80650358869196,4.0962,USD,0.6536268920778281,1.04480827229642,生産財製造,強い買い
MLI,"Mueller Industries, Inc.",119.28,USD,2.916307161345984,1250291,1.0094382306228125,13241706404.927006,USD,17.37458486278623,6.8652,USD,29.336850037678975,0.862812769628991,生産財製造,強い買い
LYTS,LSI Industries Inc.,22.84,USD,-0.2620087336244486,125822,0.8399764206838403,710159194.9379913,USD,27.884263215724573,0.8191,USD,6.709223553934354,0.873362445414847,生産財製造,強い買い
LNSR,LENSAR Inc,12.43,USD,0.3228410008070956,24082,0.5072008963736463,148470707.8434221,USD,,-4.3869,USD,-200.88477366255142,0,ヘルスケアテクノロジー,強い買い
ISTR,Investar Holding Corp,29.7,USD,-0.8678237650200319,111262,0.9989925853563931,408843327.1662216,USD,14.256912442396311,2.0832,USD,2.0576131687242927,1.45193591455274,金融,強い買い
MBC,MasterBrand Inc,13.82,USD,2.7509293680297473,2903092,1.669233302259247,1752090806.5754647,USD,21.688637790332706,0.6372,USD,-43.8293370944993,0,耐久消費財,強い買い
