Ticker,Name,Sector,Industry,Close,Change %,Volume,Relative Volume,Market Cap,SMA20,SMA50,SMA200,RSI,MACD.macd,MACD.signal,ADX,ATR,P/E,EPS (TTM)
AAPL,Apple Inc,Technology,Consumer Electronics,250.10,0.64,52000000,1.05,3820000000000,245.80,240.50,220.50,60.5,2.30,1.90,27.8,4.15,32.3,7.74
MSFT,Microsoft Corp,Technology,Software - Infrastructure,432.80,0.60,20000000,0.88,3220000000000,426.00,418.80,395.80,57.2,3.70,3.05,23.5,5.75,35.6,12.15
NVDA,NVIDIA Corp,Technology,Semiconductors,145.20,1.68,280000000,1.30,3540000000000,139.00,131.00,106.00,69.8,5.50,4.10,34.5,3.85,55.9,2.60
GOOGL,Alphabet Inc,Technology,Internet Content,194.80,0.72,23000000,0.82,2415000000000,191.50,188.50,172.50,56.2,1.40,1.15,20.1,3.08,23.6,8.23
META,Meta Platforms,Technology,Internet Content,618.50,1.01,14000000,1.02,1565000000000,602.00,582.00,512.00,64.2,8.80,6.60,29.5,10.10,27.1,22.85
AVGO,Broadcom Inc,Technology,Semiconductors,241.20,1.13,32000000,1.18,1115000000000,233.00,226.00,186.00,67.1,5.00,3.80,31.2,5.45,176.0,1.36
JPM,JPMorgan Chase,Financial,Banks - Diversified,268.50,1.02,9200000,0.88,775000000000,263.00,256.00,221.00,56.8,2.20,1.65,23.5,4.25,13.4,20.14
GS,Goldman Sachs,Financial,Capital Markets,618.80,1.05,2500000,1.02,197000000000,607.00,592.00,512.00,59.5,5.80,4.40,26.2,10.40,17.7,35.00
BRK-B,Berkshire Hathaway,Financial,Insurance - Diversified,480.20,0.33,3100000,0.72,1053000000000,475.50,468.50,430.50,52.5,1.60,1.25,18.2,6.15,10.8,44.31
V,Visa Inc,Financial,Credit Services,329.80,1.01,6200000,0.92,647000000000,323.00,316.00,291.00,58.5,2.50,1.85,22.5,4.75,32.0,10.36
MA,Mastercard Inc,Financial,Credit Services,542.50,0.80,3000000,0.98,535000000000,533.00,521.00,476.00,59.8,3.50,2.65,24.2,7.45,38.5,14.09
BAC,Bank of America,Financial,Banks - Diversified,47.85,1.38,35000000,1.05,375000000000,46.70,44.95,38.70,58.2,0.55,0.38,21.5,0.82,16.0,2.99
UNH,UnitedHealth Group,Healthcare,Healthcare Plans,582.10,-0.55,3500000,0.95,537000000000,589.00,594.00,559.50,40.8,-3.50,-2.30,27.2,9.90,34.9,16.63
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers,147.50,-0.47,8000000,0.88,355000000000,149.20,150.50,157.80,39.2,-1.00,-0.60,15.8,2.25,22.9,6.42
LLY,Eli Lilly,Healthcare,Drug Manufacturers,798.50,0.39,3800000,1.12,758000000000,781.00,761.00,721.00,63.2,8.60,6.40,27.8,14.40,125.5,6.36
PFE,Pfizer Inc,Healthcare,Drug Manufacturers,26.50,-1.12,42000000,1.18,150000000000,27.10,27.70,28.40,36.5,-0.35,-0.22,19.8,0.58,48.2,0.55
ABBV,AbbVie Inc,Healthcare,Drug Manufacturers,181.80,-0.38,7200000,0.95,320000000000,179.80,177.80,170.20,52.5,1.30,1.15,20.2,3.25,62.1,2.92
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,106.80,-1.66,18000000,1.30,447000000000,110.50,113.20,111.80,33.1,-2.10,-1.35,24.2,2.40,13.5,7.87
CVX,Chevron Corp,Energy,Oil & Gas Integrated,146.50,-1.21,9500000,1.20,265000000000,150.50,152.80,154.80,35.8,-1.80,-1.12,21.8,3.15,14.0,10.44
COP,ConocoPhillips,Energy,Oil & Gas E&P,103.50,-1.62,8000000,1.35,123000000000,107.50,110.00,114.80,31.2,-2.40,-1.55,26.5,2.55,10.0,9.15
SLB,Schlumberger,Energy,Oil & Gas Equipment,41.80,-1.65,13500000,1.38,59000000000,43.50,45.00,47.80,28.5,-1.40,-0.90,29.5,1.12,14.2,2.93
EOG,EOG Resources,Energy,Oil & Gas E&P,124.20,-1.27,5000000,1.18,71000000000,128.00,130.50,127.80,33.2,-1.80,-1.20,24.0,2.85,10.0,12.33
AMZN,Amazon.com,Consumer Cyclical,Internet Retail,231.20,1.18,45000000,1.02,2400000000000,225.00,219.00,196.00,64.5,4.10,3.10,27.2,4.45,43.0,5.38
TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers,415.50,-1.26,85000000,1.35,1335000000000,402.00,381.00,281.00,68.2,14.50,11.00,37.8,13.00,183.0,2.27
HD,Home Depot,Consumer Cyclical,Home Improvement Retail,414.80,0.56,3200000,0.72,410000000000,410.50,405.50,375.50,53.5,1.70,1.28,16.8,5.75,27.0,15.39
NKE,Nike Inc,Consumer Cyclical,Footwear & Accessories,74.50,-0.93,13000000,1.18,111000000000,76.20,77.80,84.80,37.2,-1.25,-0.88,22.8,1.52,28.2,2.64
MCD,McDonald's Corp,Consumer Discretionary,Restaurants,299.50,0.33,3000000,0.78,214000000000,296.50,292.50,280.50,54.8,1.30,0.95,18.5,4.45,25.6,11.71
PG,Consumer Staples,Consumer Defensive,Household Products,173.20,0.23,5800000,0.72,409000000000,172.20,170.70,162.20,51.8,0.60,0.42,14.5,2.28,28.6,6.06
KO,Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic,62.80,0.48,13000000,0.85,271000000000,62.30,61.90,60.10,53.8,0.28,0.18,13.0,0.82,27.3,2.30
PEP,PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic,151.80,-0.33,5800000,0.88,207000000000,152.80,154.30,171.80,42.5,-0.90,-0.60,17.2,2.52,22.0,6.89
WMT,Walmart Inc,Consumer Defensive,Discount Stores,97.50,0.72,9500000,0.82,785000000000,95.80,93.20,82.30,59.5,0.90,0.65,23.2,1.48,38.8,2.51
COST,Costco Wholesale,Consumer Defensive,Discount Stores,988.50,0.29,1700000,0.75,439000000000,979.00,961.00,851.00,59.5,5.40,4.15,25.2,13.90,55.4,17.86
LIN,Linde PLC,Basic Materials,Specialty Chemicals,469.80,0.28,2100000,0.78,226000000000,465.50,460.50,440.50,54.5,1.60,1.25,17.8,6.45,35.3,13.31
FCX,Freeport-McMoRan,Basic Materials,Copper,47.20,3.06,22000000,1.55,67000000000,44.50,42.80,43.20,69.5,1.80,1.05,32.8,1.25,31.5,1.50
NEM,Newmont Corp,Basic Materials,Gold,49.50,2.70,14000000,1.42,57000000000,47.30,45.80,42.30,66.8,1.50,0.92,28.5,1.28,19.0,2.60
AMT,American Tower,Real Estate,REIT - Specialty,209.20,-0.62,3000000,0.92,97000000000,211.50,214.80,204.80,43.2,-1.40,-0.90,19.2,3.85,41.8,5.00
PLD,Prologis Inc,Real Estate,REIT - Industrial,117.00,-1.02,6000000,1.00,109000000000,119.20,120.80,117.80,41.2,-1.00,-0.62,17.0,2.15,37.8,3.09
NEE,NextEra Energy,Utilities,Utilities - Regulated Electric,78.80,0.38,9500000,0.80,161000000000,78.10,77.10,72.10,54.2,0.55,0.38,17.0,1.28,22.6,3.49
SO,Southern Company,Utilities,Utilities - Regulated Electric,88.50,0.34,5000000,0.75,96500000000,87.90,87.10,82.10,53.5,0.35,0.28,14.8,1.18,22.9,3.87
DUK,Duke Energy,Utilities,Utilities - Regulated Electric,113.20,0.35,3000000,0.72,87500000000,112.60,112.10,105.10,52.2,0.25,0.18,13.2,1.48,19.6,5.78
CAT,Caterpillar Inc,Industrials,Farm & Heavy Construction,408.50,0.81,4000000,0.95,197000000000,401.00,396.00,366.00,58.2,3.50,2.65,23.2,6.75,18.0,22.76
GE,GE Aerospace,Industrials,Aerospace & Defense,200.80,1.16,7000000,1.10,217000000000,196.00,191.00,173.00,62.5,3.10,2.25,26.2,3.48,36.0,5.59
UNP,Union Pacific,Industrials,Railroads,249.50,0.48,2700000,0.78,153000000000,246.50,242.50,235.50,53.8,1.30,0.95,17.8,3.75,22.6,11.04
HON,Honeywell Intl,Industrials,Conglomerates,220.00,0.69,4500000,0.90,143000000000,216.50,212.50,205.50,56.5,1.70,1.18,19.8,3.18,23.4,9.42
