entry_date,direction,entry_price,sl,tp,qty_btc,exit_date,exit_price,pnl_dollar,exit_reason
2020-01-04 22:45:00,SHORT,6940.743618220785,7002.992956649446,6836.994720839683,16.064428,2020-01-05 00:15:00,6869.70248521408,1141.235166224628,TSL
2020-01-07 00:45:00,LONG,7059.619298339021,6999.1873493707,7160.339213286223,16.736385,2020-01-07 02:15:00,7099.426709968125,666.2321668781555,TSL
2020-01-09 03:00:00,LONG,7115.38914834469,7057.396055346073,7212.044303342384,17.555102,2020-01-09 03:15:00,7057.396055346073,-1018.0746628862022,SL
2020-01-11 18:45:00,LONG,7831.935428056462,7768.572124269303,7937.540934368394,15.906587,2020-01-11 21:30:00,7768.572124269303,-1007.8939042978831,SL
2020-01-13 20:30:00,SHORT,7173.463698366557,7221.0383900203415,7094.1725456102495,20.973651,2020-01-13 21:00:00,7221.0383900203415,-997.8149791790913,SL
2020-01-18 12:30:00,SHORT,6940.830575244831,6998.99543320897,6843.889145304601,16.983396,2020-01-18 12:45:00,6998.99543320897,-987.8368160887215,SL
2020-01-21 07:45:00,SHORT,7069.882833697973,7110.7046297940715,7001.846506871143,23.956772,2020-01-21 08:30:00,7069.882833697973,0.0,BE
2020-01-21 08:45:00,SHORT,7105.670127400603,7155.962320707262,7021.849805222837,19.445532,2020-01-21 09:45:00,7105.670127400603,0.0,BE
2020-01-26 21:45:00,LONG,7425.786616771274,7360.465577531166,7534.655015504787,14.971569,2020-01-27 01:00:00,7574.377722566244,2224.641993195703,TSL
2020-02-05 02:45:00,SHORT,8039.654232419723,8105.2635345434865,7930.305395546782,15.244864,2020-02-05 04:00:00,8105.2635345434865,-1000.2048880116915,SL
2020-02-23 03:00:00,LONG,8738.939229046558,8673.727958702819,8847.62467961946,15.184535,2020-02-23 03:30:00,8673.727958702819,-990.2028169289771,SL
2020-02-23 04:30:00,LONG,8590.037819161344,8522.573156796652,8702.478923102497,14.530582,2020-02-23 05:00:00,8522.573156796652,-980.3008085924612,SL
2020-02-23 20:45:00,LONG,8650.182643978831,8580.56772765077,8766.207504525599,13.940946,2020-02-23 22:15:00,8580.56772765077,-970.4977893240117,SL
2020-02-26 05:15:00,LONG,8997.326569100855,8934.72103199881,9101.669130937596,15.346771,2020-02-26 06:00:00,9047.860211701316,775.5282407851266,TSL
2020-02-28 05:30:00,LONG,9337.160907783615,9243.062488203874,9493.991607083184,10.292926,2020-02-28 06:30:00,9337.160907783615,0.0,BE
2020-03-01 04:30:00,SHORT,9064.954083658442,9131.59743966758,8953.881823643213,14.533303,2020-03-01 05:00:00,9131.59743966758,-968.5480858176628,SL
2020-03-04 04:00:00,SHORT,9654.385005868331,9728.14076875647,9531.4587343881,13.000511,2020-03-04 05:00:00,9654.385005868331,0.0,BE
2020-03-05 02:30:00,SHORT,9452.468041609814,9523.255089887498,9334.489627813675,13.545735,2020-03-05 03:00:00,9523.255089887498,-958.8625974017061,SL
2020-03-09 14:30:00,LONG,11204.741971185967,11110.185242071517,11362.336519710052,10.039201,2020-03-09 15:30:00,11361.915822786073,1577.8998881576358,TSL
2020-03-13 00:15:00,LONG,12233.29589913616,12129.340716831519,12406.554536310561,9.283356,2020-03-13 01:00:00,12233.29589913616,0.0,BE
2020-03-14 04:45:00,LONG,12299.769786570796,12228.92474851438,12417.844849998155,13.622027,2020-03-14 05:15:00,12332.39603245549,444.4356023499415,TSL
2020-03-14 06:00:00,LONG,12237.524018543429,12152.84702438555,12378.652342139892,11.44936,2020-03-14 06:30:00,12300.108056242017,716.5471778647155,TSL
2020-03-14 15:45:00,LONG,12227.236873422245,12118.833321269618,12407.909460343293,9.009509,2020-03-14 17:45:00,12371.014549464706,1295.366266303631,TSL
2020-03-17 04:30:00,SHORT,12279.268744119949,12379.459693234023,12112.283828929827,9.877304,2020-03-17 04:45:00,12379.459693234023,-989.6164624482407,SL
2020-03-19 22:30:00,LONG,12415.156060195332,12311.187679289009,12588.436695039201,9.423253,2020-03-19 23:45:00,12472.902668491428,544.1608998660151,TSL
2020-03-21 00:30:00,SHORT,12292.678348900348,12377.464043417684,12151.368858038122,11.619436,2020-03-21 03:45:00,12377.464043417684,-985.1619511597282,SL
2020-03-21 11:45:00,LONG,12433.564425331817,12355.559587344198,12563.572488644515,12.503203,2020-03-21 12:00:00,12484.091979453808,631.7562662807372,TSL
2020-03-26 15:30:00,SHORT,10937.303575446516,11027.106456657883,10787.632106760908,10.930917,2020-03-26 16:15:00,11027.106456657883,-981.6278408823033,SL
2020-03-29 15:00:00,SHORT,10991.818075035239,11084.653232323042,10837.092812888899,10.468142,2020-03-29 15:30:00,11084.653232323042,-971.8116090810637,SL
2020-03-30 00:45:00,LONG,11165.165025029974,11075.665592023677,11314.330746707135,10.749716,2020-03-30 01:30:00,11268.517943851442,1111.0145251018448,TSL
2020-03-30 12:45:00,LONG,11527.930493615644,11426.660793649167,11696.713326893105,9.610018,2020-03-30 13:00:00,11593.192747157076,627.171431253726,TSL
2020-04-12 05:30:00,SHORT,10126.093648862181,10197.307729133936,10007.403515075923,13.753956,2020-04-12 07:00:00,10046.810423343988,1090.4579953153027,TSL
2020-04-14 18:00:00,SHORT,9726.194458226813,9803.695589412726,9597.025906250294,12.778909,2020-04-14 19:30:00,9803.695589412726,-990.3799028218383,SL
2020-04-16 01:15:00,LONG,9898.56494538442,9801.201677031628,10060.83705930574,10.070288,2020-04-16 05:45:00,10137.147778114799,2402.5978374507413,TSL
2020-04-23 08:45:00,SHORT,9540.55904653634,9603.48926646345,9435.675346657825,15.962158,2020-04-23 09:45:00,9603.48926646345,-1004.5021134512727,SL
2020-04-24 17:30:00,LONG,9960.533651822554,9882.807360899113,10090.07747002829,12.794346,2020-04-24 21:00:00,10004.938008803196,568.1247071178459,TSL
2020-04-26 01:45:00,SHORT,8948.196399100478,9013.45258604525,8839.436087525857,15.326337,2020-04-26 03:15:00,8906.408259334648,640.4591126542014,TSL
2020-04-26 17:45:00,SHORT,9097.825318865769,9169.771624883206,8977.914808836707,13.990196,2020-04-26 19:30:00,8855.923072103911,3384.2598450387572,TSL
2020-04-28 03:45:00,SHORT,8587.858840499492,8661.79644967001,8464.62949188196,14.071127,2020-04-28 05:45:00,8415.047379794072,2431.652010641467,TSL
2020-04-29 11:00:00,SHORT,8005.782267818729,8068.787413700884,7900.773691348472,16.898652,2020-04-29 11:30:00,8068.787413700884,-1064.7020344717612,SL
2020-05-01 17:30:00,LONG,8098.497363661944,8026.133636155406,8219.103576172842,14.566069,2020-05-01 20:30:00,8208.43027975802,1601.2904412266544,TSL
2020-05-06 17:00:00,LONG,8220.48606360895,8153.298388823873,8332.46552158408,15.926551,2020-05-06 19:45:00,8153.298388823873,-1070.0679290359499,SL
2020-05-07 23:00:00,LONG,8540.577421235683,8458.011648500302,8678.187042461317,12.830586,2020-05-08 02:15:00,8540.577421235683,0.0,BE
2020-05-16 19:15:00,LONG,8554.079076361952,8477.93648637949,8680.983392999384,13.912939,2020-05-16 19:45:00,8554.079076361952,0.0,BE
2020-05-18 19:15:00,LONG,8824.966837462729,8756.33834741589,8939.347654207459,15.43626,2020-05-18 19:45:00,8861.839922053074,569.1825207385536,TSL
2020-05-20 06:00:00,LONG,9205.37623122687,9133.764626481345,9324.728905802745,14.872716,2020-05-20 06:45:00,9320.41879815113,1710.9954257755053,TSL
2020-05-23 13:15:00,SHORT,8822.50992798906,8904.511394218904,8685.84081760599,13.196947,2020-05-23 15:15:00,8904.511394218904,-1082.1690037575354,SL
